FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
55,Wisconsin,2000,8,"4,090,566   ","2,984,888   ",73.0,"2,879,078   ",70.4,"105,810   ",3.5
56,Wyoming,2000,8,"372,824   ","265,527   ",71.2,"255,633   ",68.6,"9,894   ",3.7
1,Alabama,2000,9,"3,382,833   ","2,141,123   ",63.3,"2,042,203   ",60.4,"98,920   ",4.6
2,Alaska,2000,9,"436,686   ","319,468   ",73.2,"299,035   ",68.5,"20,433   ",6.4
4,Arizona,2000,9,"3,868,349   ","2,515,959   ",65.0,"2,416,580   ",62.5,"99,379   ",3.9
5,Arkansas,2000,9,"2,029,809   ","1,256,360   ",61.9,"1,204,522   ",59.3,"51,838   ",4.1
6,California,2000,9,"25,198,907   ","16,896,624   ",67.1,"16,077,742   ",63.8,"818,882   ",4.8
8,Colorado,2000,9,"3,280,778   ","2,360,216   ",71.9,"2,294,416   ",69.9,"65,800   ",2.8
9,Connecticut,2000,9,"2,598,235   ","1,757,954   ",67.7,"1,721,890   ",66.3,"36,064   ",2.1
10,Delaware,2000,9,"598,716   ","415,453   ",69.4,"400,210   ",66.8,"15,243   ",3.7
11,District of Columbia,2000,9,"457,979   ","311,303   ",68.0,"293,567   ",64.1,"17,736   ",5.7
12,Florida,2000,9,"12,531,514   ","7,950,023   ",63.4,"7,652,740   ",61.1,"297,283   ",3.7
13,Georgia,2000,9,"6,121,592   ","4,211,500   ",68.8,"4,065,922   ",66.4,"145,578   ",3.5
15,Hawaii,2000,9,"900,064   ","603,783   ",67.1,"579,065   ",64.3,"24,718   ",4.1
16,Idaho,2000,9,"954,816   ","662,304   ",69.4,"631,007   ",66.1,"31,297   ",4.7
17,Illinois,2000,9,"9,357,007   ","6,468,288   ",69.1,"6,181,872   ",66.1,"286,416   ",4.4
18,Indiana,2000,9,"4,607,960   ","3,115,798   ",67.6,"3,025,630   ",65.7,"90,168   ",2.9
19,Iowa,2000,9,"2,234,909   ","1,595,899   ",71.4,"1,551,361   ",69.4,"44,538   ",2.8
20,Kansas,2000,9,"2,004,079   ","1,397,072   ",69.7,"1,343,392   ",67.0,"53,680   ",3.8
21,Kentucky,2000,9,"3,091,067   ","1,956,925   ",63.3,"1,874,369   ",60.6,"82,556   ",4.2
22,Louisiana,2000,9,"3,291,271   ","2,019,258   ",61.4,"1,912,209   ",58.1,"107,049   ",5.3
23,Maine,2000,9,"996,165   ","673,290   ",67.6,"651,738   ",65.4,"21,552   ",3.2
24,Maryland,2000,9,"4,004,683   ","2,809,536   ",70.2,"2,707,058   ",67.6,"102,478   ",3.6
25,Massachusetts,2000,9,"4,937,430   ","3,328,808   ",67.4,"3,238,983   ",65.6,"89,825   ",2.7
26,Michigan,2000,9,"7,529,670   ","5,150,327   ",68.4,"4,948,522   ",65.7,"201,805   ",3.9
27,Minnesota,2000,9,"3,740,906   ","2,806,769   ",75.0,"2,717,481   ",72.6,"89,288   ",3.2
28,Mississippi,2000,9,"2,098,577   ","1,307,260   ",62.3,"1,239,098   ",59.0,"68,162   ",5.2
29,Missouri,2000,9,"4,242,677   ","2,973,070   ",70.1,"2,865,361   ",67.5,"107,709   ",3.6
30,Montana,2000,9,"688,280   ","469,254   ",68.2,"446,734   ",64.9,"22,520   ",4.8
31,Nebraska,2000,9,"1,285,348   ","937,888   ",73.0,"911,207   ",70.9,"26,681   ",2.8
32,Nevada,2000,9,"1,534,032   ","1,080,030   ",70.4,"1,034,296   ",67.4,"45,734   ",4.2
33,New Hampshire,2000,9,"952,999   ","686,596   ",72.0,"669,204   ",70.2,"17,392   ",2.5
34,New Jersey,2000,9,"6,450,861   ","4,279,650   ",66.3,"4,122,376   ",63.9,"157,274   ",3.7
35,New Mexico,2000,9,"1,343,758   ","848,142   ",63.1,"805,684   ",60.0,"42,458   ",5.0
36,New York,2000,9,"14,564,575   ","9,117,064   ",62.6,"8,710,620   ",59.8,"406,444   ",4.5
37,North Carolina,2000,9,"6,130,839   ","4,144,132   ",67.6,"3,978,577   ",64.9,"165,555   ",4.0
38,North Dakota,2000,9,"484,737   ","342,327   ",70.6,"332,257   ",68.5,"10,070   ",2.9
39,Ohio,2000,9,"8,633,000   ","5,766,307   ",66.8,"5,531,574   ",64.1,"234,733   ",4.1
40,Oklahoma,2000,9,"2,583,304   ","1,654,299   ",64.0,"1,605,173   ",62.1,"49,126   ",3.0
41,Oregon,2000,9,"2,649,251   ","1,812,271   ",68.4,"1,716,020   ",64.8,"96,251   ",5.3
42,Pennsylvania,2000,9,"9,490,931   ","6,110,966   ",64.4,"5,848,728   ",61.6,"262,238   ",4.3
44,Rhode Island,2000,9,"813,748   ","540,682   ",66.4,"519,558   ",63.8,"21,124   ",3.9
45,South Carolina,2000,9,"3,035,343   ","1,971,496   ",65.0,"1,901,466   ",62.6,"70,030   ",3.6
46,South Dakota,2000,9,"562,429   ","408,313   ",72.6,"397,642   ",70.7,"10,671   ",2.6
47,Tennessee,2000,9,"4,367,858   ","2,844,773   ",65.1,"2,732,966   ",62.6,"111,807   ",3.9
48,Texas,2000,9,"15,259,194   ","10,382,274   ",68.0,"9,943,815   ",65.2,"438,459   ",4.2
49,Utah,2000,9,"1,589,727   ","1,146,846   ",72.1,"1,107,285   ",69.7,"39,561   ",3.4
50,Vermont,2000,9,"475,082   ","334,008   ",70.3,"324,405   ",68.3,"9,603   ",2.9
51,Virginia,2000,9,"5,317,939   ","3,608,457   ",67.9,"3,531,752   ",66.4,"76,705   ",2.1
53,Washington,2000,9,"4,478,629   ","3,083,855   ",68.9,"2,922,175   ",65.2,"161,680   ",5.2
54,West Virginia,2000,9,"1,429,981   ","797,856   ",55.8,"753,621   ",52.7,"44,235   ",5.5
55,Wisconsin,2000,9,"4,094,607   ","2,987,106   ",73.0,"2,880,752   ",70.4,"106,354   ",3.6
56,Wyoming,2000,9,"373,051   ","265,833   ",71.3,"255,942   ",68.6,"9,891   ",3.7
1,Alabama,2000,10,"3,384,211   ","2,139,926   ",63.2,"2,041,001   ",60.3,"98,925   ",4.6
2,Alaska,2000,10,"437,393   ","319,403   ",73.0,"299,064   ",68.4,"20,339   ",6.4
4,Arizona,2000,10,"3,877,696   ","2,523,954   ",65.1,"2,424,942   ",62.5,"99,012   ",3.9
5,Arkansas,2000,10,"2,031,078   ","1,256,632   ",61.9,"1,204,595   ",59.3,"52,037   ",4.1
6,California,2000,10,"25,237,042   ","16,928,452   ",67.1,"16,118,306   ",63.9,"810,146   ",4.8
8,Colorado,2000,10,"3,288,185   ","2,362,855   ",71.9,"2,298,209   ",69.9,"64,646   ",2.7
9,Connecticut,2000,10,"2,599,904   ","1,757,803   ",67.6,"1,721,221   ",66.2,"36,582   ",2.1
10,Delaware,2000,10,"599,406   ","417,048   ",69.6,"401,740   ",67.0,"15,308   ",3.7
11,District of Columbia,2000,10,"458,388   ","312,650   ",68.2,"294,698   ",64.3,"17,952   ",5.7
12,Florida,2000,10,"12,554,196   ","7,968,603   ",63.5,"7,671,035   ",61.1,"297,568   ",3.7
13,Georgia,2000,10,"6,133,273   ","4,219,708   ",68.8,"4,076,029   ",66.5,"143,679   ",3.4
15,Hawaii,2000,10,"900,855   ","604,311   ",67.1,"579,968   ",64.4,"24,343   ",4.0
16,Idaho,2000,10,"956,410   ","663,771   ",69.4,"632,528   ",66.1,"31,243   ",4.7
17,Illinois,2000,10,"9,363,515   ","6,464,848   ",69.0,"6,174,523   ",65.9,"290,325   ",4.5
18,Indiana,2000,10,"4,610,768   ","3,115,383   ",67.6,"3,025,371   ",65.6,"90,012   ",2.9
19,Iowa,2000,10,"2,235,750   ","1,599,621   ",71.5,"1,554,252   ",69.5,"45,369   ",2.8
20,Kansas,2000,10,"2,005,362   ","1,397,470   ",69.7,"1,343,090   ",67.0,"54,380   ",3.9
21,Kentucky,2000,10,"3,092,897   ","1,959,159   ",63.3,"1,875,394   ",60.6,"83,765   ",4.3
22,Louisiana,2000,10,"3,292,007   ","2,022,328   ",61.4,"1,913,866   ",58.1,"108,462   ",5.4
23,Maine,2000,10,"997,202   ","672,805   ",67.5,"651,444   ",65.3,"21,361   ",3.2
24,Maryland,2000,10,"4,009,824   ","2,816,124   ",70.2,"2,713,711   ",67.7,"102,413   ",3.6
25,Massachusetts,2000,10,"4,941,860   ","3,336,722   ",67.5,"3,246,473   ",65.7,"90,249   ",2.7
26,Michigan,2000,10,"7,535,127   ","5,152,050   ",68.4,"4,947,870   ",65.7,"204,180   ",4.0
27,Minnesota,2000,10,"3,745,484   ","2,815,217   ",75.2,"2,724,744   ",72.7,"90,473   ",3.2
28,Mississippi,2000,10,"2,099,379   ","1,305,140   ",62.2,"1,238,459   ",59.0,"66,681   ",5.1
29,Missouri,2000,10,"4,246,319   ","2,979,947   ",70.2,"2,867,305   ",67.5,"112,642   ",3.8
30,Montana,2000,10,"688,837   ","468,924   ",68.1,"446,711   ",64.9,"22,213   ",4.7
31,Nebraska,2000,10,"1,286,070   ","939,042   ",73.0,"912,185   ",70.9,"26,857   ",2.9
32,Nevada,2000,10,"1,539,014   ","1,085,010   ",70.5,"1,038,180   ",67.5,"46,830   ",4.3
33,New Hampshire,2000,10,"954,412   ","687,938   ",72.1,"670,675   ",70.3,"17,263   ",2.5
34,New Jersey,2000,10,"6,455,676   ","4,282,124   ",66.3,"4,123,650   ",63.9,"158,474   ",3.7
35,New Mexico,2000,10,"1,344,816   ","850,024   ",63.2,"807,634   ",60.1,"42,390   ",5.0
36,New York,2000,10,"14,574,580   ","9,120,777   ",62.6,"8,719,377   ",59.8,"401,400   ",4.4
37,North Carolina,2000,10,"6,139,174   ","4,151,937   ",67.6,"3,983,626   ",64.9,"168,311   ",4.1
38,North Dakota,2000,10,"484,741   ","342,574   ",70.7,"332,575   ",68.6,"9,999   ",2.9
39,Ohio,2000,10,"8,637,548   ","5,769,815   ",66.8,"5,539,184   ",64.1,"230,631   ",4.0
40,Oklahoma,2000,10,"2,584,571   ","1,655,384   ",64.0,"1,607,005   ",62.2,"48,379   ",2.9
41,Oregon,2000,10,"2,652,736   ","1,812,447   ",68.3,"1,717,292   ",64.7,"95,155   ",5.3
42,Pennsylvania,2000,10,"9,494,633   ","6,122,435   ",64.5,"5,860,231   ",61.7,"262,204   ",4.3
44,Rhode Island,2000,10,"814,463   ","540,505   ",66.4,"519,732   ",63.8,"20,773   ",3.8
45,South Carolina,2000,10,"3,038,703   ","1,976,505   ",65.0,"1,906,278   ",62.7,"70,227   ",3.6
46,South Dakota,2000,10,"562,902   ","409,118   ",72.7,"398,340   ",70.8,"10,778   ",2.6
47,Tennessee,2000,10,"4,371,798   ","2,846,916   ",65.1,"2,735,645   ",62.6,"111,271   ",3.9
48,Texas,2000,10,"15,285,623   ","10,398,969   ",68.0,"9,966,658   ",65.2,"432,311   ",4.2
49,Utah,2000,10,"1,593,001   ","1,149,844   ",72.2,"1,109,406   ",69.6,"40,438   ",3.5
50,Vermont,2000,10,"475,507   ","334,594   ",70.4,"324,966   ",68.3,"9,628   ",2.9
51,Virginia,2000,10,"5,324,945   ","3,619,961   ",68.0,"3,543,654   ",66.5,"76,307   ",2.1
53,Washington,2000,10,"4,484,987   ","3,086,855   ",68.8,"2,925,177   ",65.2,"161,678   ",5.2
54,West Virginia,2000,10,"1,429,734   ","798,734   ",55.9,"754,875   ",52.8,"43,859   ",5.5
55,Wisconsin,2000,10,"4,098,514   ","2,991,135   ",73.0,"2,884,542   ",70.4,"106,593   ",3.6
56,Wyoming,2000,10,"373,242   ","266,267   ",71.3,"256,419   ",68.7,"9,848   ",3.7
1,Alabama,2000,11,"3,385,253   ","2,139,965   ",63.2,"2,040,616   ",60.3,"99,349   ",4.6
2,Alaska,2000,11,"438,096   ","319,460   ",72.9,"299,264   ",68.3,"20,196   ",6.3
4,Arizona,2000,11,"3,886,639   ","2,533,900   ",65.2,"2,434,431   ",62.6,"99,469   ",3.9
5,Arkansas,2000,11,"2,032,150   ","1,257,547   ",61.9,"1,205,079   ",59.3,"52,468   ",4.2
6,California,2000,11,"25,273,037   ","16,965,953   ",67.1,"16,159,985   ",63.9,"805,968   ",4.8
8,Colorado,2000,11,"3,295,378   ","2,365,926   ",71.8,"2,302,455   ",69.9,"63,471   ",2.7
9,Connecticut,2000,11,"2,601,325   ","1,757,617   ",67.6,"1,720,029   ",66.1,"37,588   ",2.1
10,Delaware,2000,11,"600,063   ","418,924   ",69.8,"403,523   ",67.2,"15,401   ",3.7
11,District of Columbia,2000,11,"458,761   ","313,576   ",68.4,"295,375   ",64.4,"18,201   ",5.8
12,Florida,2000,11,"12,575,102   ","7,989,957   ",63.5,"7,689,671   ",61.1,"300,286   ",3.8
13,Georgia,2000,11,"6,144,529   ","4,229,457   ",68.8,"4,086,197   ",66.5,"143,260   ",3.4
15,Hawaii,2000,11,"901,673   ","605,309   ",67.1,"581,121   ",64.4,"24,188   ",4.0
16,Idaho,2000,11,"957,933   ","665,633   ",69.5,"634,432   ",66.2,"31,201   ",4.7
17,Illinois,2000,11,"9,369,166   ","6,465,149   ",69.0,"6,167,385   ",65.8,"297,764   ",4.6
18,Indiana,2000,11,"4,613,209   ","3,118,498   ",67.6,"3,025,931   ",65.6,"92,567   ",3.0
19,Iowa,2000,11,"2,236,321   ","1,602,761   ",71.7,"1,556,340   ",69.6,"46,421   ",2.9
20,Kansas,2000,11,"2,006,433   ","1,398,926   ",69.7,"1,343,708   ",67.0,"55,218   ",3.9
21,Kentucky,2000,11,"3,094,531   ","1,961,786   ",63.4,"1,876,498   ",60.6,"85,288   ",4.3
22,Louisiana,2000,11,"3,292,484   ","2,026,957   ",61.6,"1,917,107   ",58.2,"109,850   ",5.4
23,Maine,2000,11,"998,094   ","672,955   ",67.4,"651,688   ",65.3,"21,267   ",3.2
24,Maryland,2000,11,"4,014,613   ","2,822,425   ",70.3,"2,720,153   ",67.8,"102,272   ",3.6
25,Massachusetts,2000,11,"4,945,759   ","3,347,925   ",67.7,"3,256,027   ",65.8,"91,898   ",2.7
26,Michigan,2000,11,"7,539,934   ","5,158,205   ",68.4,"4,949,225   ",65.6,"208,980   ",4.1
27,Minnesota,2000,11,"3,749,779   ","2,824,617   ",75.3,"2,733,488   ",72.9,"91,129   ",3.2
28,Mississippi,2000,11,"2,099,967   ","1,304,138   ",62.1,"1,238,350   ",59.0,"65,788   ",5.0
29,Missouri,2000,11,"4,249,529   ","2,987,904   ",70.3,"2,870,358   ",67.5,"117,546   ",3.9
30,Montana,2000,11,"689,364   ","468,687   ",68.0,"446,762   ",64.8,"21,925   ",4.7
31,Nebraska,2000,11,"1,286,643   ","940,867   ",73.1,"913,784   ",71.0,"27,083   ",2.9
32,Nevada,2000,11,"1,543,911   ","1,090,188   ",70.6,"1,042,157   ",67.5,"48,031   ",4.4
33,New Hampshire,2000,11,"955,745   ","689,755   ",72.2,"672,217   ",70.3,"17,538   ",2.5
34,New Jersey,2000,11,"6,459,817   ","4,284,698   ",66.3,"4,125,842   ",63.9,"158,856   ",3.7
35,New Mexico,2000,11,"1,345,733   ","852,051   ",63.3,"809,637   ",60.2,"42,414   ",5.0
36,New York,2000,11,"14,583,054   ","9,126,380   ",62.6,"8,730,589   ",59.9,"395,791   ",4.3
37,North Carolina,2000,11,"6,146,939   ","4,161,618   ",67.7,"3,990,039   ",64.9,"171,579   ",4.1
38,North Dakota,2000,11,"484,715   ","343,034   ",70.8,"333,169   ",68.7,"9,865   ",2.9
39,Ohio,2000,11,"8,641,255   ","5,777,788   ",66.9,"5,551,334   ",64.2,"226,454   ",3.9
40,Oklahoma,2000,11,"2,585,631   ","1,657,371   ",64.1,"1,609,291   ",62.2,"48,080   ",2.9
41,Oregon,2000,11,"2,655,969   ","1,813,369   ",68.3,"1,718,860   ",64.7,"94,509   ",5.2
42,Pennsylvania,2000,11,"9,497,174   ","6,136,761   ",64.6,"5,874,011   ",61.9,"262,750   ",4.3
44,Rhode Island,2000,11,"815,074   ","540,761   ",66.3,"520,059   ",63.8,"20,702   ",3.8
45,South Carolina,2000,11,"3,041,827   ","1,982,769   ",65.2,"1,910,496   ",62.8,"72,273   ",3.6
46,South Dakota,2000,11,"563,343   ","410,198   ",72.8,"399,282   ",70.9,"10,916   ",2.7
47,Tennessee,2000,11,"4,375,368   ","2,850,056   ",65.1,"2,739,133   ",62.6,"110,923   ",3.9
48,Texas,2000,11,"15,310,947   ","10,419,981   ",68.1,"9,992,279   ",65.3,"427,702   ",4.1
49,Utah,2000,11,"1,596,218   ","1,153,064   ",72.2,"1,111,619   ",69.6,"41,445   ",3.6
50,Vermont,2000,11,"475,918   ","335,315   ",70.5,"325,599   ",68.4,"9,716   ",2.9
51,Virginia,2000,11,"5,331,526   ","3,633,438   ",68.2,"3,556,205   ",66.7,"77,233   ",2.1
53,Washington,2000,11,"4,490,922   ","3,090,504   ",68.8,"2,928,278   ",65.2,"162,226   ",5.2
54,West Virginia,2000,11,"1,429,379   ","799,972   ",56.0,"756,480   ",52.9,"43,492   ",5.4
55,Wisconsin,2000,11,"4,102,043   ","2,996,986   ",73.1,"2,889,490   ",70.4,"107,496   ",3.6
56,Wyoming,2000,11,"373,446   ","266,782   ",71.4,"256,975   ",68.8,"9,807   ",3.7
1,Alabama,2000,12,"3,386,178   ","2,140,886   ",63.2,"2,040,648   ",60.3,"100,238   ",4.7
2,Alaska,2000,12,"438,773   ","319,644   ",72.8,"299,627   ",68.3,"20,017   ",6.3
4,Arizona,2000,12,"3,895,390   ","2,544,844   ",65.3,"2,443,973   ",62.7,"100,871   ",4.0
5,Arkansas,2000,12,"2,033,134   ","1,258,869   ",61.9,"1,205,680   ",59.3,"53,189   ",4.2
6,California,2000,12,"25,308,044   ","17,004,221   ",67.2,"16,196,430   ",64.0,"807,791   ",4.8
8,Colorado,2000,12,"3,302,410   ","2,369,212   ",71.7,"2,306,123   ",69.8,"63,089   ",2.7
9,Connecticut,2000,12,"2,602,613   ","1,757,049   ",67.5,"1,717,973   ",66.0,"39,076   ",2.2
10,Delaware,2000,12,"600,688   ","420,792   ",70.1,"405,350   ",67.5,"15,442   ",3.7
11,District of Columbia,2000,12,"459,100   ","313,822   ",68.4,"295,386   ",64.3,"18,436   ",5.9
12,Florida,2000,12,"12,595,548   ","8,011,808   ",63.6,"7,706,178   ",61.2,"305,630   ",3.8
13,Georgia,2000,12,"6,155,531   ","4,238,961   ",68.9,"4,094,380   ",66.5,"144,581   ",3.4
15,Hawaii,2000,12,"902,472   ","606,510   ",67.2,"582,193   ",64.5,"24,317   ",4.0
16,Idaho,2000,12,"959,424   ","667,767   ",69.6,"636,497   ",66.3,"31,270   ",4.7
17,Illinois,2000,12,"9,374,457   ","6,468,207   ",69.0,"6,159,884   ",65.7,"308,323   ",4.8
18,Indiana,2000,12,"4,615,419   ","3,124,584   ",67.7,"3,026,991   ",65.6,"97,593   ",3.1
19,Iowa,2000,12,"2,236,772   ","1,605,280   ",71.8,"1,557,642   ",69.6,"47,638   ",3.0
20,Kansas,2000,12,"2,007,415   ","1,400,629   ",69.8,"1,344,631   ",67.0,"55,998   ",4.0
21,Kentucky,2000,12,"3,096,008   ","1,964,112   ",63.4,"1,876,903   ",60.6,"87,209   ",4.4
22,Louisiana,2000,12,"3,292,838   ","2,031,573   ",61.7,"1,920,444   ",58.3,"111,129   ",5.5
23,Maine,2000,12,"998,941   ","673,545   ",67.4,"652,145   ",65.3,"21,400   ",3.2
24,Maryland,2000,12,"4,019,283   ","2,827,342   ",70.3,"2,725,038   ",67.8,"102,304   ",3.6
25,Massachusetts,2000,12,"4,949,449   ","3,359,793   ",67.9,"3,264,889   ",66.0,"94,904   ",2.8
26,Michigan,2000,12,"7,544,386   ","5,167,109   ",68.5,"4,950,193   ",65.6,"216,916   ",4.2
27,Minnesota,2000,12,"3,753,858   ","2,833,661   ",75.5,"2,741,840   ",73.0,"91,821   ",3.2
28,Mississippi,2000,12,"2,100,492   ","1,304,068   ",62.1,"1,238,504   ",59.0,"65,564   ",5.0
29,Missouri,2000,12,"4,252,557   ","2,994,981   ",70.4,"2,873,210   ",67.6,"121,771   ",4.1
30,Montana,2000,12,"689,849   ","468,491   ",67.9,"446,766   ",64.8,"21,725   ",4.6
31,Nebraska,2000,12,"1,287,185   ","942,907   ",73.3,"915,594   ",71.1,"27,313   ",2.9
32,Nevada,2000,12,"1,548,738   ","1,095,217   ",70.7,"1,045,870   ",67.5,"49,347   ",4.5
33,New Hampshire,2000,12,"957,038   ","691,673   ",72.3,"673,477   ",70.4,"18,196   ",2.6
34,New Jersey,2000,12,"6,463,696   ","4,285,976   ",66.3,"4,127,345   ",63.9,"158,631   ",3.7
35,New Mexico,2000,12,"1,346,599   ","853,878   ",63.4,"811,370   ",60.3,"42,508   ",5.0
36,New York,2000,12,"14,591,033   ","9,129,982   ",62.6,"8,739,200   ",59.9,"390,782   ",4.3
37,North Carolina,2000,12,"6,154,456   ","4,172,079   ",67.8,"3,995,828   ",64.9,"176,251   ",4.2
38,North Dakota,2000,12,"484,664   ","343,602   ",70.9,"333,887   ",68.9,"9,715   ",2.8
39,Ohio,2000,12,"8,644,649   ","5,788,181   ",67.0,"5,564,923   ",64.4,"223,258   ",3.9
40,Oklahoma,2000,12,"2,586,577   ","1,659,710   ",64.2,"1,611,353   ",62.3,"48,357   ",2.9
41,Oregon,2000,12,"2,659,061   ","1,814,335   ",68.2,"1,719,456   ",64.7,"94,879   ",5.2
42,Pennsylvania,2000,12,"9,499,379   ","6,151,654   ",64.8,"5,887,290   ",62.0,"264,364   ",4.3
44,Rhode Island,2000,12,"815,630   ","541,228   ",66.4,"520,233   ",63.8,"20,995   ",3.9
45,South Carolina,2000,12,"3,044,817   ","1,974,250   ",64.8,"1,897,991   ",62.3,"76,259   ",3.9
46,South Dakota,2000,12,"563,710   ","411,336   ",73.0,"400,245   ",71.0,"11,091   ",2.7
47,Tennessee,2000,12,"4,378,754   ","2,854,088   ",65.2,"2,743,055   ",62.6,"111,033   ",3.9
48,Texas,2000,12,"15,335,573   ","10,442,177   ",68.1,"10,015,120   ",65.3,"427,057   ",4.1
49,Utah,2000,12,"1,599,387   ","1,156,115   ",72.3,"1,113,525   ",69.6,"42,590   ",3.7
50,Vermont,2000,12,"476,283   ","336,031   ",70.6,"326,139   ",68.5,"9,892   ",2.9
51,Virginia,2000,12,"5,337,913   ","3,646,707   ",68.3,"3,566,772   ",66.8,"79,935   ",2.2
53,Washington,2000,12,"4,496,757   ","3,093,714   ",68.8,"2,929,874   ",65.2,"163,840   ",5.3
54,West Virginia,2000,12,"1,428,923   ","801,006   ",56.1,"757,852   ",53.0,"43,154   ",5.4
55,Wisconsin,2000,12,"4,105,382   ","3,004,094   ",73.2,"2,894,396   ",70.5,"109,698   ",3.7
56,Wyoming,2000,12,"373,611   ","267,287   ",71.5,"257,505   ",68.9,"9,782   ",3.7
1,Alabama,2001,1,"3,387,039   ","2,141,777   ",63.2,"2,040,374   ",60.2,"101,403   ",4.7
2,Alaska,2001,1,"439,457   ","319,846   ",72.8,"300,030   ",68.3,"19,816   ",6.2
4,Arizona,2001,1,"3,904,061   ","2,555,178   ",65.4,"2,452,258   ",62.8,"102,920   ",4.0
5,Arkansas,2001,1,"2,034,063   ","1,260,049   ",61.9,"1,205,911   ",59.3,"54,138   ",4.3
6,California,2001,1,"25,342,675   ","17,036,516   ",67.2,"16,221,805   ",64.0,"814,711   ",4.8
8,Colorado,2001,1,"3,309,347   ","2,372,165   ",71.7,"2,308,140   ",69.7,"64,025   ",2.7
9,Connecticut,2001,1,"2,603,831   ","1,755,847   ",67.4,"1,714,969   ",65.9,"40,878   ",2.3
10,Delaware,2001,1,"601,304   ","422,324   ",70.2,"406,976   ",67.7,"15,348   ",3.6
11,District of Columbia,2001,1,"459,437   ","313,380   ",68.2,"294,747   ",64.2,"18,633   ",5.9
12,Florida,2001,1,"12,615,545   ","8,031,163   ",63.7,"7,718,636   ",61.2,"312,527   ",3.9
13,Georgia,2001,1,"6,166,480   ","4,246,253   ",68.9,"4,099,176   ",66.5,"147,077   ",3.5
15,Hawaii,2001,1,"903,274   ","607,571   ",67.3,"582,914   ",64.5,"24,657   ",4.1
16,Idaho,2001,1,"960,888   ","669,930   ",69.7,"638,460   ",66.4,"31,470   ",4.7
17,Illinois,2001,1,"9,379,497   ","6,472,722   ",69.0,"6,152,750   ",65.6,"319,972   ",4.9
18,Indiana,2001,1,"4,617,526   ","3,131,784   ",67.8,"3,027,860   ",65.6,"103,924   ",3.3
19,Iowa,2001,1,"2,237,196   ","1,607,287   ",71.8,"1,558,411   ",69.7,"48,876   ",3.0
20,Kansas,2001,1,"2,008,356   ","1,401,731   ",69.8,"1,345,113   ",67.0,"56,618   ",4.0
21,Kentucky,2001,1,"3,097,382   ","1,965,224   ",63.4,"1,875,942   ",60.6,"89,282   ",4.5
22,Louisiana,2001,1,"3,293,186   ","2,034,561   ",61.8,"1,922,697   ",58.4,"111,864   ",5.5
23,Maine,2001,1,"999,732   ","674,292   ",67.4,"652,495   ",65.3,"21,797   ",3.2
24,Maryland,2001,1,"4,023,848   ","2,830,333   ",70.3,"2,727,705   ",67.8,"102,628   ",3.6
25,Massachusetts,2001,1,"4,952,972   ","3,369,977   ",68.0,"3,270,951   ",66.0,"99,026   ",2.9
26,Michigan,2001,1,"7,548,639   ","5,175,795   ",68.6,"4,948,660   ",65.6,"227,135   ",4.4
27,Minnesota,2001,1,"3,757,861   ","2,841,094   ",75.6,"2,748,164   ",73.1,"92,930   ",3.3
28,Mississippi,2001,1,"2,100,994   ","1,304,179   ",62.1,"1,238,457   ",58.9,"65,722   ",5.0
29,Missouri,2001,1,"4,255,432   ","2,999,349   ",70.5,"2,874,567   ",67.6,"124,782   ",4.2
30,Montana,2001,1,"690,313   ","468,240   ",67.8,"446,626   ",64.7,"21,614   ",4.6
31,Nebraska,2001,1,"1,287,664   ","944,664   ",73.4,"917,123   ",71.2,"27,541   ",2.9
32,Nevada,2001,1,"1,553,524   ","1,099,598   ",70.8,"1,048,953   ",67.5,"50,645   ",4.6
33,New Hampshire,2001,1,"958,254   ","693,230   ",72.3,"674,158   ",70.4,"19,072   ",2.8
34,New Jersey,2001,1,"6,467,345   ","4,285,668   ",66.3,"4,127,117   ",63.8,"158,551   ",3.7
35,New Mexico,2001,1,"1,347,455   ","855,167   ",63.5,"812,599   ",60.3,"42,568   ",5.0
36,New York,2001,1,"14,598,672   ","9,128,039   ",62.5,"8,740,605   ",59.9,"387,434   ",4.2
37,North Carolina,2001,1,"6,161,819   ","4,181,546   ",67.9,"3,998,775   ",64.9,"182,771   ",4.4
38,North Dakota,2001,1,"484,574   ","344,116   ",71.0,"334,528   ",69.0,"9,588   ",2.8
39,Ohio,2001,1,"8,647,714   ","5,798,294   ",67.1,"5,576,671   ",64.5,"221,623   ",3.8
40,Oklahoma,2001,1,"2,587,395   ","1,662,044   ",64.2,"1,612,914   ",62.3,"49,130   ",3.0
41,Oregon,2001,1,"2,662,042   ","1,814,809   ",68.2,"1,718,469   ",64.6,"96,340   ",5.3
42,Pennsylvania,2001,1,"9,501,193   ","6,164,882   ",64.9,"5,897,777   ",62.1,"267,105   ",4.3
44,Rhode Island,2001,1,"816,184   ","541,675   ",66.4,"520,071   ",63.7,"21,604   ",4.0
45,South Carolina,2001,1,"3,047,767   ","1,967,678   ",64.6,"1,886,258   ",61.9,"81,420   ",4.1
46,South Dakota,2001,1,"564,085   ","412,289   ",73.1,"401,011   ",71.1,"11,278   ",2.7
47,Tennessee,2001,1,"4,381,992   ","2,857,893   ",65.2,"2,746,172   ",62.7,"111,721   ",3.9
